profile_id,job_id,relevance,split,rationale
P08,J05,,held_out,
P08,J06,,held_out,
P08,J07,,held_out,
P08,J08,,held_out,
P08,J09,,held_out,
P08,J10,,held_out,
P08,J11,,held_out,
P08,J12,,held_out,
P08,J13,,held_out,
P08,J14,,held_out,
P08,J15,,held_out,
P08,J16,,held_out,
P08,J17,,held_out,
P08,J18,,held_out,
P08,J19,,held_out,
P08,J20,,held_out,
P08,J21,,held_out,
P08,J22,,held_out,
P08,J23,,held_out,
P08,J24,,held_out,
P08,J25,,held_out,
P08,J26,,held_out,
P08,J27,,held_out,
P08,J28,,held_out,
P08,J29,,held_out,
P08,J30,,held_out,
P09,J01,,held_out,
P09,J02,,held_out,
P09,J03,,held_out,
P09,J04,,held_out,
P09,J05,,held_out,
P09,J06,,held_out,
P09,J07,,held_out,
P09,J08,,held_out,
P09,J09,,held_out,
P09,J10,,held_out,
P09,J11,,held_out,
P09,J12,,held_out,
P09,J13,,held_out,
P09,J14,,held_out,
P09,J15,,held_out,
P09,J16,,held_out,
P09,J17,,held_out,
P09,J18,,held_out,
P09,J19,,held_out,
P09,J20,,held_out,
P09,J21,,held_out,
P09,J22,,held_out,
P09,J23,,held_out,
P09,J24,,held_out,
P09,J25,,held_out,
P09,J26,,held_out,
P09,J27,,held_out,
P09,J28,,held_out,
P09,J29,,held_out,
P09,J30,,held_out,
P10,J01,,held_out,
P10,J02,,held_out,
P10,J03,,held_out,
P10,J04,,held_out,
P10,J05,,held_out,
P10,J06,,held_out,
P10,J07,,held_out,
P10,J08,,held_out,
P10,J09,,held_out,
P10,J10,,held_out,
P10,J11,,held_out,
P10,J12,,held_out,
P10,J13,,held_out,
P10,J14,,held_out,
P10,J15,,held_out,
P10,J16,,held_out,
P10,J17,,held_out,
P10,J18,,held_out,
P10,J19,,held_out,
P10,J20,,held_out,
P10,J21,,held_out,
P10,J22,,held_out,
P10,J23,,held_out,
P10,J24,,held_out,
P10,J25,,held_out,
P10,J26,,held_out,
P10,J27,,held_out,
P10,J28,,held_out,
P10,J29,,held_out,
P10,J30,,held_out,
